model_name,train_corr,val_corr,train_time,n_train,n_val
lgb_conservative,0.2407917292873928,-0.015458269920006477,7.985643625259399,134000,33500
lgb_moderate,0.3484633800855572,-0.01030102277764973,3.8797731399536133,134000,33500
ridge,0.09131432026294554,-0.006997303834992975,0.04159975051879883,134000,33500
