,mean_sharpe,min_sharpe,max_sharpe,std_sharpe,pct_positive,pct_above_1
Long_Only_Weekly,0.9853709082675707,-0.37152391794987943,2.8539410802156504,0.803635487028962,93.65895458440446,38.64610111396744
EW_BuyHold,0.8632211595630506,-0.5987535867001986,2.7126341774910996,0.8258948365238076,88.17480719794345,36.3324764353042
Long_Only_Top20,0.8458385018805843,-0.33107634915380396,2.4532714937226414,0.7369419009690331,86.03256212510712,39.588688946015424
LS_Monthly,0.5233851701738187,-1.822804781240063,2.2286506715360277,0.9560306738679408,71.12253641816623,39.588688946015424
LS_Top20_Bot20,0.29509279814574013,-1.1151482154585861,3.026074588042599,1.0428800205126731,43.359040274207366,21.765209940017137
