rebalance_freq,stop_loss,vol_target,position_sizing,sharpe,sortino,calmar,max_dd,ann_return,total_return,ann_turnover,win_rate
5,,,equal,-7.560650507474902,-100.11394481354145,-0.22802445028497179,-0.42105438157538044,-0.09601069392160733,-0.4216333271938051,503.0802919708028,0.0
5,,,inv_vol,-7.49695636262326,-97.99813642569437,-0.2270480244549952,-0.41698316628085086,-0.09467520415776076,-0.41698316628085086,495.7226277372263,0.0
5,,0.1,equal,-6.869759404617656,-90.96555348454731,-0.32446761355975995,-0.8065882117010573,-0.2617117522085233,-0.8071684470659541,503.0802919708028,0.0
5,,0.1,inv_vol,-6.821304568796624,-89.16620905880197,-0.3220408999399459,-0.802470228572601,-0.2584282346167386,-0.802470228572601,495.7226277372263,0.0
5,,0.15,equal,-6.869759404617656,-90.96555348454731,-0.32446761355975995,-0.8065882117010573,-0.2617117522085233,-0.8071684470659541,503.0802919708028,0.0
5,,0.15,inv_vol,-6.821304568796624,-89.16620905880197,-0.3220408999399459,-0.802470228572601,-0.2584282346167386,-0.802470228572601,495.7226277372263,0.0
5,0.05,,equal,-2.2332566663648836,-3.1856501649614666,-0.19188119683951738,-0.05072056289030924,-0.009732322330954668,-0.05166984232741889,494.6666666666666,0.0
5,0.05,,inv_vol,-2.233256666364883,-3.1856501649614657,-0.18835595143580613,-0.05166984232741889,-0.009732322330954668,-0.05166984232741889,430.83870967741933,0.0
5,0.05,0.1,equal,-2.215928532923183,-3.160932305194192,-0.20001296756468687,-0.1448427257452184,-0.0289704234264605,-0.14740819756798273,494.6666666666666,0.0
5,0.05,0.1,inv_vol,-2.215928532923183,-3.1609323051941915,-0.19653196962432515,-0.14740819756798273,-0.0289704234264605,-0.14740819756798273,430.83870967741933,0.0
5,0.05,0.15,equal,-2.215928532923183,-3.160932305194192,-0.20001296756468687,-0.1448427257452184,-0.0289704234264605,-0.14740819756798273,494.6666666666666,0.0
5,0.05,0.15,inv_vol,-2.215928532923183,-3.1609323051941915,-0.19653196962432515,-0.14740819756798273,-0.0289704234264605,-0.14740819756798273,430.83870967741933,0.0
5,0.1,,equal,-3.182101399922927,-9.050333581561134,-0.1942067946680541,-0.10067081318014715,-0.01955095596376355,-0.10157014236696704,499.33333333333326,0.0
5,0.1,,inv_vol,-3.182101399922926,-9.050333581561132,-0.19248723580477375,-0.10157014236696704,-0.01955095596376355,-0.10157014236696704,464.8965517241379,0.0
5,0.1,0.1,equal,-3.126348874038871,-8.891765915834531,-0.21100892845049912,-0.27309380007139716,-0.05762523014064125,-0.275274518671183,499.33333333333326,0.0
